TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME
2,species,ostric2,Common Ostrich,Struthio camelus
7,species,ostric3,Somali Ostrich,Struthio molybdophanes
8,slash,y00934,Common/Somali Ostrich,Struthio camelus/molybdophanes
10,species,soucas1,Southern Cassowary,Casuarius casuarius
11,species,dwacas1,Dwarf Cassowary,Casuarius bennetti
14,species,norcas1,Northern Cassowary,Casuarius unappendiculatus
15,species,emu1,Emu,Dromaius novaehollandiae
21,species,sobkiw1,Southern Brown Kiwi,Apteryx australis
22,issf,sobkiw2,Southern Brown Kiwi (South I.),Apteryx australis australis
23,issf,sobkiw3,Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi
24,species,okbkiw1,Okarito Brown Kiwi,Apteryx rowi
25,species,nibkiw1,North Island Brown Kiwi,Apteryx mantelli
26,hybrid,x01217,Southern Brown x North Island Brown Kiwi (hybrid),Apteryx australis x mantelli
27,species,liskiw1,Little Spotted Kiwi,Apteryx owenii
28,hybrid,x01059,Okarito Brown x Little Spotted Kiwi (hybrid),Apteryx rowi x owenii
29,species,grskiw1,Great Spotted Kiwi,Apteryx maxima
30,spuh,kiwi1,kiwi sp.,Apteryx sp.
32,species,grerhe1,Greater Rhea,Rhea americana
38,species,lesrhe2,Lesser Rhea,Rhea pennata
39,issf,lesrhe4,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi
42,issf,lesrhe3,Lesser Rhea (Darwin's),Rhea pennata pennata
44,species,puntin1,Puna Tinamou,Tinamotis pentlandii
45,species,pattin1,Patagonian Tinamou,Tinamotis ingoufi
46,species,quctin1,Quebracho Crested-Tinamou,Eudromia formosa
49,species,elctin1,Elegant Crested-Tinamou,Eudromia elegans
50,issf,elecrt11,Elegant Crested-Tinamou (Northern),Eudromia elegans [intermedia Group]
54,issf,elecrt12,Elegant Crested-Tinamou (Southern),Eudromia elegans [elegans Group]
62,species,dwatin1,Dwarf Tinamou,Taoniscus nanus
63,species,whbnot1,White-bellied Nothura,Nothura boraquira
64,species,lesnot1,Lesser Nothura,Nothura minor
65,species,darnot1,Darwin's Nothura,Nothura darwinii
71,species,sponot1,Spotted Nothura,Nothura maculosa
81,slash,y01225,White-bellied/Spotted Nothura,Nothura boraquira/maculosa
82,slash,y01226,Lesser/Spotted Nothura,Nothura minor/maculosa
83,slash,y01375,Darwin's/Spotted Nothura,Nothura darwinii/maculosa
84,species,huatin1,Huayco Tinamou,Rhynchotus maculicollis
85,species,rewtin1,Red-winged Tinamou,Rhynchotus rufescens
89,species,brutin1,Brushland Tinamou,Nothoprocta cinerascens
92,species,andtin1,Andean Tinamou,Nothoprocta pentlandii
93,issf,andtin10,Andean Tinamou (Northern),Nothoprocta pentlandii [oustaleti Group]
97,issf,andtin11,Andean Tinamou (Southern),Nothoprocta pentlandii [pentlandii Group]
103,species,cubtin1,Curve-billed Tinamou,Nothoprocta curvirostris
106,species,orntin1,Ornate Tinamou,Nothoprocta ornata
110,species,tactin1,Taczanowski's Tinamou,Nothoprocta taczanowskii
111,species,chitin1,Chilean Tinamou,Nothoprocta perdicaria
114,spuh,nothop1,Nothoprocta sp.,Nothoprocta sp.
115,species,tabtin1,Tawny-breasted Tinamou,Nothocercus julius
116,species,hootin1,Hooded Tinamou,Nothocercus nigrocapillus
119,species,higtin1,Highland Tinamou,Nothocercus bonapartei
120,issf,higtin3,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii
121,issf,higtin2,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group]
126,species,gretin1,Great Tinamou,Tinamus major
139,species,soltin1,Solitary Tinamou,Tinamus solitarius
140,species,grytin1,Gray Tinamou,Tinamus tao
145,species,whttin1,White-throated Tinamou,Tinamus guttatus
146,species,blatin1,Black Tinamou,Tinamus osgoodi
147,issf,blktin1,Black Tinamou (Colombian),Tinamus osgoodi hershkovitzi
148,issf,blktin2,Black Tinamou (Peruvian),Tinamus osgoodi osgoodi
149,spuh,tinamu1,Tinamus sp.,Tinamus sp.
150,species,bertin1,Berlepsch's Tinamou,Crypturellus berlepschi
151,species,cintin1,Cinereous Tinamou,Crypturellus cinereus
152,species,teptin1,Tepui Tinamou,Crypturellus ptaritepui
153,species,smbtin1,Small-billed Tinamou,Crypturellus parvirostris
154,species,tattin1,Tataupa Tinamou,Crypturellus tataupa
159,species,brotin1,Brown Tinamou,Crypturellus obsoletus
160,issf,brntin11,Brown Tinamou (Venezuelan),Crypturellus obsoletus cerviniventris/knoxi
163,issf,brntin1,Brown Tinamou (Ecuadorian),Crypturellus obsoletus castaneus
164,issf,brntin2,Brown Tinamou (Andean),Crypturellus obsoletus [punensis Group]
168,issf,brntin8,Brown Tinamou (Amazonian),Crypturellus obsoletus griseiventris
169,issf,brntin10,Brown Tinamou (Atlantic),Crypturellus obsoletus obsoletus
170,species,vartin1,Variegated Tinamou,Crypturellus variegatus
171,species,bartin2,Bartlett's Tinamou,Crypturellus bartletti
172,species,bartin1,Barred Tinamou,Crypturellus casiquiare
173,species,rustin1,Rusty Tinamou,Crypturellus brevirostris
174,species,littin1,Little Tinamou,Crypturellus soui
189,species,undtin1,Undulated Tinamou,Crypturellus undulatus
196,species,yeltin1,Yellow-legged Tinamou,Crypturellus noctivagus
197,issf,yeltin2,Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele
198,issf,yeltin3,Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus
199,species,blctin1,Black-capped Tinamou,Crypturellus atrocapillus
202,species,pabtin1,Pale-browed Tinamou,Crypturellus transfasciatus
203,species,thitin1,Thicket Tinamou,Crypturellus cinnamomeus
204,issf,thitin2,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis
205,issf,thitin3,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group]
214,species,slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi
217,species,chotin1,Choco Tinamou,Crypturellus kerriae
218,species,reltin1,Red-legged Tinamou,Crypturellus erythropus
226,species,gyltin1,Gray-legged Tinamou,Crypturellus duidae
227,species,bratin1,Brazilian Tinamou,Crypturellus strigulosus
228,form,sddtin1,Serra do Divisor Tinamou (undescribed form),Crypturellus [undescribed form]
229,spuh,cryptu1,Crypturellus sp.,Crypturellus sp.
230,spuh,tinamo1,tinamou sp.,Tinamidae sp.
232,species,horscr1,Horned Screamer,Anhima cornuta
233,species,souscr1,Southern Screamer,Chauna torquata
234,species,norscr1,Northern Screamer,Chauna chavaria
236,species,maggoo1,Magpie Goose,Anseranas semipalmata
238,species,spwduc1,Spotted Whistling-Duck,Dendrocygna guttata
239,species,plwduc1,Plumed Whistling-Duck,Dendrocygna eytoni
240,species,wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata
241,hybrid,x00721,Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata
242,hybrid,x01218,Plumed x White-faced Whistling-Duck (hybrid),Dendrocygna eytoni x viduata
243,species,bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis
244,issf,bkbwhd1,Black-bellied Whistling-Duck (Northern),Dendrocygna autumnalis fulgens
245,issf,bkbwhd2,Black-bellied Whistling-Duck (Southern),Dendrocygna autumnalis autumnalis
246,hybrid,x01141,White-faced x Black-bellied Whistling-Duck (hybrid),Dendrocygna viduata x autumnalis
247,species,wiwduc1,West Indian Whistling-Duck,Dendrocygna arborea
248,hybrid,x00775,Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea
249,species,fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor
250,hybrid,x00938,White-faced x Fulvous Whistling-Duck (hybrid),Dendrocygna viduata x bicolor
251,hybrid,x00875,Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor
252,species,wawduc1,Wandering Whistling-Duck,Dendrocygna arcuata
256,hybrid,x00990,Plumed x Wandering Whistling-Duck (hybrid),Dendrocygna eytoni x arcuata
257,slash,y01227,Plumed/Wandering Whistling-Duck,Dendrocygna eytoni/arcuata
258,species,lewduc1,Lesser Whistling-Duck,Dendrocygna javanica
259,slash,y01080,Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica
260,hybrid,x00360,Wandering x Lesser Whistling-Duck (hybrid),Dendrocygna arcuata x javanica
261,spuh,whistl1,whistling-duck sp.,Dendrocygna sp.
262,species,whbduc1,White-backed Duck,Thalassornis leuconotus
265,species,bahgoo,Bar-headed Goose,Anser indicus
266,species,empgoo,Emperor Goose,Anser canagicus
267,species,snogoo,Snow Goose,Anser caerulescens
270,hybrid,x00991,Bar-headed x Snow Goose (hybrid),Anser indicus x caerulescens
271,hybrid,x01176,Emperor x Snow Goose (hybrid),Anser canagicus x caerulescens
272,species,rosgoo,Ross's Goose,Anser rossii
273,hybrid,sxrgoo1,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii
274,slash,y00469,Snow/Ross's Goose,Anser caerulescens/rossii
275,species,gragoo,Graylag Goose,Anser anser
276,issf,gragoo2,Graylag Goose (European),Anser anser anser
277,issf,gragoo3,Graylag Goose (Siberian),Anser anser rubrirostris
278,domestic,gragoo1,Graylag Goose (Domestic type),Anser anser (Domestic type)
279,hybrid,x00992,Bar-headed x Graylag Goose (hybrid),Anser indicus x anser
280,hybrid,x01119,Emperor x Graylag Goose (hybrid),Anser canagicus x anser
281,species,swagoo1,Swan Goose,Anser cygnoides
282,domestic,swagoo2,Swan Goose (Domestic type),Anser cygnoides (Domestic type)
283,hybrid,x01143,Bar-headed x Swan Goose (hybrid),Anser indicus x cygnoides
284,hybrid,x01144,Snow x Swan Goose (hybrid),Anser caerulescens x cygnoides
285,hybrid,x01142,Bar-headed x Snow x Swan Goose (hybrid),Anser indicus x caerulescens x cygnoides
286,hybrid,x00776,Graylag x Swan Goose (hybrid),Anser anser x cygnoides
287,species,gwfgoo,Greater White-fronted Goose,Anser albifrons
288,issf,gwfgoo1,Greater White-fronted Goose (Greenland),Anser albifrons flavirostris
289,issf,gwfgoo4,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons
290,issf,gwfgoo2,Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa
293,issf,gwfgoo3,Greater White-fronted Goose (Tule),Anser albifrons elgasi
294,hybrid,x00755,Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons
295,hybrid,x00361,Emperor x Greater White-fronted Goose (hybrid),Anser canagicus x albifrons
296,hybrid,x00627,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons
297,hybrid,x00362,Ross's x Greater White-fronted Goose (hybrid),Anser rossii x albifrons
298,hybrid,x01145,Graylag x Greater White-fronted Goose (hybrid),Anser anser x albifrons
299,species,lwfgoo,Lesser White-fronted Goose,Anser erythropus
300,slash,y00707,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus
301,species,taibeg1,Taiga Bean-Goose,Anser fabalis
302,issf,taibeg5,Taiga Bean-Goose (Western),Anser fabalis fabalis/johanseni
305,issf,taibeg4,Taiga Bean-Goose (Eastern),Anser fabalis middendorffii
306,species,tunbeg1,Tundra Bean-Goose,Anser serrirostris
309,hybrid,x01089,Greater White-fronted Goose x Tundra Bean-Goose (hybrid),Anser albifrons x serrirostris
310,slash,y00468,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris
311,species,pifgoo,Pink-footed Goose,Anser brachyrhynchus
312,domestic,domgoo1,Domestic goose sp. (Domestic type),Anser sp. (Domestic type)
313,spuh,anser1,Anser sp.,Anser sp.
314,species,brant,Brant,Branta bernicla
315,issf,dabbra1,Brant (Dark-bellied),Branta bernicla bernicla
316,issf,atlbra1,Brant (Pale-bellied),Branta bernicla hrota
317,issf,blkbra1,Brant (Black),Branta bernicla nigricans
318,form,gybbra1,Brant (Gray-bellied),Branta bernicla (Gray-bellied)
319,intergrade,brant2,Brant (Dark-bellied x Black),Branta bernicla bernicla x nigricans
320,intergrade,brant1,Brant (Pale-bellied x Black),Branta bernicla hrota x nigricans
321,hybrid,x00685,Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla
322,species,bargoo,Barnacle Goose,Branta leucopsis
323,hybrid,x00363,Bar-headed x Barnacle Goose (hybrid),Anser indicus x Branta leucopsis
324,hybrid,x00993,Emperor x Barnacle Goose (hybrid),Anser canagicus x Branta leucopsis
325,hybrid,x00994,Snow x Barnacle Goose (hybrid),Anser caerulescens x Branta leucopsis
326,hybrid,x00995,Ross's x Barnacle Goose (hybrid),Anser rossii x Branta leucopsis
327,hybrid,x00649,Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis
328,hybrid,x00757,Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis
329,hybrid,x00364,Lesser White-fronted x Barnacle Goose (hybrid),Anser erythropus x Branta leucopsis
330,hybrid,x00756,Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis
331,species,cacgoo1,Cackling Goose,Branta hutchinsii
332,issf,alcgoo1,Cackling Goose (Aleutian),Branta hutchinsii leucopareia
333,issf,ricgoo1,Cackling Goose (Richardson's),Branta hutchinsii hutchinsii
334,issf,cacgoo2,Cackling Goose (minima),Branta hutchinsii minima
335,issf,tacgoo1,Cackling Goose (Taverner's),Branta hutchinsii taverneri
336,hybrid,x00831,Emperor x Cackling Goose (hybrid),Anser canagicus x Branta hutchinsii
337,hybrid,x00692,Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii
338,hybrid,x00694,Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii
339,hybrid,x00722,Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii
340,hybrid,x00414,Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii
341,hybrid,x00416,Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii
342,species,cangoo,Canada Goose,Branta canadensis
343,issf,cangoo4,Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima
346,issf,cangoo3,Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva
349,issf,cangoo1,Canada Goose (canadensis Group),Branta canadensis [canadensis Group]
353,hybrid,x00908,Bar-headed x Canada Goose (hybrid),Anser indicus x Branta canadensis
354,hybrid,swagoo3,Swan x Canada Goose (hybrid),Anser cygnoides x Branta canadensis
355,hybrid,x00650,Pink-footed x Canada Goose (hybrid),Anser brachyrhynchus x Branta canadensis
356,hybrid,x00415,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis
357,hybrid,x01088,Greater White-fronted x Cackling/Canada Goose (hybrid),Anser albifrons x Branta hutchinsii/canadensis
358,hybrid,x00758,Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis
359,hybrid,x00759,Domestic goose sp. x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis
360,hybrid,x00197,Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis
361,hybrid,x00693,Ross's x Canada Goose (hybrid),Anser rossii x Branta canadensis
362,hybrid,x00417,Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis
363,slash,y00470,Cackling/Canada Goose,Branta hutchinsii/canadensis
364,hybrid,y00765,Snow/Ross's x Cackling/Canada Goose (hybrid),Anser caerulescens/rossii x Branta hutchinsii/canadensis
365,species,hawgoo,Hawaiian Goose,Branta sandvicensis
366,hybrid,x01139,Barnacle x Hawaiian Goose (hybrid),Branta leucopsis x sandvicensis
367,species,rebgoo1,Red-breasted Goose,Branta ruficollis
368,hybrid,x00939,Greater White-fronted x Red-breasted Goose (hybrid),Anser albifrons x Branta ruficollis
369,hybrid,x00996,Brant x Red-breasted Goose (hybrid),Branta bernicla x ruficollis
370,hybrid,x00365,Barnacle x Red-breasted Goose (hybrid),Branta leucopsis x ruficollis
371,spuh,branta1,Branta sp.,Branta sp.
372,species,cabgoo1,Cape Barren Goose,Cereopsis novaehollandiae
375,species,freduc1,Freckled Duck,Stictonetta naevosa
376,species,buwgoo1,Blue-winged Goose,Cyanochen cyanoptera
377,species,mutswa,Mute Swan,Cygnus olor
378,hybrid,x00366,Graylag Goose x Mute Swan (hybrid),Anser anser x Cygnus olor
379,species,blkswa,Black Swan,Cygnus atratus
380,hybrid,x01037,Mute x Black Swan (hybrid),Cygnus olor x atratus
381,species,blnswa2,Black-necked Swan,Cygnus melancoryphus
382,species,truswa,Trumpeter Swan,Cygnus buccinator
383,hybrid,x00832,Mute x Trumpeter Swan (hybrid),Cygnus olor x buccinator
384,species,tunswa,Tundra Swan,Cygnus columbianus
385,issf,tunswa1,Tundra Swan (Whistling),Cygnus columbianus columbianus
386,issf,bewswa1,Tundra Swan (Bewick's),Cygnus columbianus bewickii
387,intergrade,tunswa2,Tundra Swan (Whistling x Bewick's),Cygnus columbianus columbianus x bewickii
388,hybrid,x00418,Trumpeter x Tundra Swan (hybrid),Cygnus buccinator x columbianus
389,slash,y00471,Trumpeter/Tundra Swan,Cygnus buccinator/columbianus
390,species,whoswa,Whooper Swan,Cygnus cygnus
391,hybrid,x00997,Mute x Whooper Swan (hybrid),Cygnus olor x cygnus
392,hybrid,x00419,Trumpeter x Whooper Swan (hybrid),Cygnus buccinator x cygnus
393,slash,y00708,Tundra/Whooper Swan,Cygnus columbianus/cygnus
394,spuh,swan1,swan sp.,Cygnus sp.
395,species,cosswa1,Coscoroba Swan,Coscoroba coscoroba
396,species,comduc2,Knob-billed Duck,Sarkidiornis melanotos
397,species,comduc3,Comb Duck,Sarkidiornis sylvicola
398,species,harduc1,Hartlaub's Duck,Pteronetta hartlaubii
399,species,origoo1,Orinoco Goose,Oressochen jubatus
400,species,andgoo1,Andean Goose,Oressochen melanopterus
401,species,uplgoo1,Upland Goose,Chloephaga picta
404,form,uplgoo2,Upland Goose (White-breasted),Chloephaga picta (White-breasted)
405,form,uplgoo3,Upland Goose (Bar-breasted),Chloephaga picta (Bar-breasted)
406,species,kelgoo1,Kelp Goose,Chloephaga hybrida
409,species,ashgoo1,Ashy-headed Goose,Chloephaga poliocephala
410,species,ruhgoo1,Ruddy-headed Goose,Chloephaga rubidiceps
411,hybrid,x01120,Ashy-headed x Ruddy-headed Goose (hybrid),Chloephaga poliocephala x rubidiceps
412,spuh,chloep1,Chloephaga sp.,Chloephaga sp.
413,spuh,goose1,goose sp.,Anatidae (goose sp.)
414,species,radshe1,Radjah Shelduck,Radjah radjah
417,species,egygoo,Egyptian Goose,Alopochen aegyptiaca
418,hybrid,x01177,Knob-billed Duck x Egyptian Goose (hybrid),Sarkidiornis melanotos x Alopochen aegyptiaca
419,species,maushe1,Mauritius Shelduck,Alopochen mauritiana
420,species,reushe1,Reunion Shelduck,Alopochen kervazoi
421,species,rudshe,Ruddy Shelduck,Tadorna ferruginea
422,hybrid,x00367,Egyptian Goose x Ruddy Shelduck (hybrid),Alopochen aegyptiaca x Tadorna ferruginea
423,species,soashe1,South African Shelduck,Tadorna cana
424,species,ausshe1,Australian Shelduck,Tadorna tadornoides
425,species,parshe1,Paradise Shelduck,Tadorna variegata
426,species,comshe,Common Shelduck,Tadorna tadorna
427,hybrid,x00876,Ruddy x Common Shelduck (hybrid),Tadorna ferruginea x tadorna
428,species,creshe1,Crested Shelduck,Tadorna cristata
429,species,spwgoo1,Spur-winged Goose,Plectropterus gambensis
430,issf,spwgoo2,Spur-winged Goose (Northern),Plectropterus gambensis gambensis
431,issf,spwgoo3,Spur-winged Goose (Southern),Plectropterus gambensis niger
432,species,flystd1,Flying Steamer-Duck,Tachyeres patachonicus
433,species,flistd1,Flightless Steamer-Duck,Tachyeres pteneres
434,form,flistd2,Flightless Steamer-Duck (Chiloe form),Tachyeres pteneres [undescribed form]
435,species,falstd1,Falkland Steamer-Duck,Tachyeres brachypterus
436,form,falstd2,Falkland Steamer-Duck (Flightless),Tachyeres brachypterus (Flightless)
437,form,falstd3,Falkland Steamer-Duck (Flying),Tachyeres brachypterus (Flying)
438,species,whhstd1,White-headed Steamer-Duck,Tachyeres leucocephalus
439,slash,y01376,Flying/White-headed Steamer-Duck,Tachyeres patachonicus/leucocephalus
440,spuh,steame1,steamer-duck sp.,Tachyeres sp.
441,species,creduc1,Crested Duck,Lophonetta specularioides
444,species,speduc2,Spectacled Duck,Speculanas specularis
445,species,musduc,Muscovy Duck,Cairina moschata
446,domestic,musduc3,Muscovy Duck (Domestic type),Cairina moschata (Domestic type)
447,hybrid,x01045,Egyptian Goose x Muscovy Duck (hybrid),Alopochen aegyptiaca x Cairina moschata
448,species,grnpyg1,Green Pygmy-Goose,Nettapus pulchellus
449,species,copgoo1,Cotton Pygmy-Goose,Nettapus coromandelianus
452,slash,y01228,Green/Cotton Pygmy-Goose,Nettapus pulchellus/coromandelianus
453,species,afrpyg1,African Pygmy-Goose,Nettapus auritus
454,species,rintea1,Ringed Teal,Callonetta leucophrys
455,species,wooduc,Wood Duck,Aix sponsa
456,hybrid,x00940,Common Shelduck x Wood Duck (hybrid),Tadorna tadorna x Aix sponsa
457,species,manduc,Mandarin Duck,Aix galericulata
458,hybrid,x00833,Wood x Mandarin Duck (hybrid),Aix sponsa x galericulata
459,species,manduc1,Maned Duck,Chenonetta jubata
460,species,finduc1,Finsch's Duck,Chenonetta finschi
461,species,bratea1,Brazilian Teal,Amazonetta brasiliensis
464,hybrid,x01178,Wood Duck x Brazilian Teal (hybrid),Aix sponsa x Amazonetta brasiliensis
465,species,bluduc1,Blue Duck,Hymenolaimus malacorhynchos
468,species,torduc1,Torrent Duck,Merganetta armata
469,issf,torduc8,Torrent Duck (Colombian),Merganetta armata leucogenis/colombiana
472,issf,torduc4,Torrent Duck (Black-bellied),Merganetta armata turneri
473,issf,torduc9,Torrent Duck (Bolivian),Merganetta armata garleppi/berlepschi
476,issf,torduc7,Torrent Duck (Patagonian),Merganetta armata armata
477,species,saltea1,Salvadori's Teal,Salvadorina waigiuensis
478,species,baitea,Baikal Teal,Sibirionetta formosa
479,species,gargan,Garganey,Spatula querquedula
480,species,hottea1,Blue-billed Teal,Spatula hottentota
481,species,siltea1,Silver Teal,Spatula versicolor
484,species,puntea1,Puna Teal,Spatula puna
485,species,buwtea,Blue-winged Teal,Spatula discors
486,hybrid,x01179,Baikal x Blue-winged Teal (hybrid),Sibirionetta formosa x Spatula discors
487,species,cintea,Cinnamon Teal,Spatula cyanoptera
488,issf,cintea1,Cinnamon Teal (Northern),Spatula cyanoptera septentrionalium
489,issf,cintea6,Cinnamon Teal (Andean),Spatula cyanoptera [orinoma Group]
493,issf,cintea5,Cinnamon Teal (Southern),Spatula cyanoptera cyanoptera
494,hybrid,bwxtea1,Blue-winged x Cinnamon Teal (hybrid),Spatula discors x cyanoptera
495,slash,y00314,Blue-winged/Cinnamon Teal,Spatula discors/cyanoptera
496,species,redsho1,Red Shoveler,Spatula platalea
497,species,capsho1,Cape Shoveler,Spatula smithii
498,species,aussho1,Australasian Shoveler,Spatula rhynchotis
501,species,norsho,Northern Shoveler,Spatula clypeata
502,hybrid,x00836,Garganey x Northern Shoveler (hybrid),Spatula querquedula x clypeata
503,hybrid,x00629,Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata
504,hybrid,x00630,Cinnamon Teal x Northern Shoveler (hybrid),Spatula cyanoptera x clypeata
505,species,gadwal,Gadwall,Mareca strepera
506,issf,gadwal1,Gadwall (Common),Mareca strepera strepera
507,issf,gadwal2,Gadwall (Coues's),Mareca strepera couesi
508,hybrid,x00457,Northern Shoveler x Gadwall (hybrid),Spatula clypeata x Mareca strepera
509,species,falduc,Falcated Duck,Mareca falcata
510,hybrid,x00368,Baikal Teal x Falcated Duck (hybrid),Sibirionetta formosa x Mareca falcata
511,hybrid,x00369,Gadwall x Falcated Duck (hybrid),Mareca strepera x falcata
512,species,eurwig,Eurasian Wigeon,Mareca penelope
513,hybrid,x01219,Baikal Teal x Eurasian Wigeon (hybrid),Sibirionetta formosa x Mareca penelope
514,hybrid,x01140,Northern Shoveler x Eurasian Wigeon (hybrid),Spatula clypeata x Mareca penelope
515,hybrid,x00723,Gadwall x Eurasian Wigeon (hybrid),Mareca strepera x penelope
516,hybrid,x01220,Falcated Duck x Eurasian Wigeon (hybrid),Mareca falcata x penelope
517,species,amewig,American Wigeon,Mareca americana
518,hybrid,x00877,Wood Duck x American Wigeon (hybrid),Aix sponsa x Mareca americana
519,hybrid,x00370,Blue-winged Teal x American Wigeon (hybrid),Spatula discors x Mareca americana
520,hybrid,x00777,Northern Shoveler x American Wigeon (hybrid),Spatula clypeata x Mareca americana
521,hybrid,x00724,Gadwall x American Wigeon (hybrid),Mareca strepera x americana
522,hybrid,x00421,Eurasian x American Wigeon (hybrid),Mareca penelope x americana
523,slash,y00670,Eurasian/American Wigeon,Mareca penelope/americana
524,species,chiwig1,Chiloe Wigeon,Mareca sibilatrix
525,hybrid,x00998,Eurasian x Chiloe Wigeon (hybrid),Mareca penelope x sibilatrix
526,species,amsduc1,Amsterdam Duck,Mareca marecula
527,species,afbduc1,African Black Duck,Anas sparsa
530,species,yebduc1,Yellow-billed Duck,Anas undulata
533,species,melduc1,Meller's Duck,Anas melleri
534,species,pabduc1,Pacific Black Duck,Anas superciliosa
537,species,layduc,Laysan Duck,Anas laysanensis
538,species,hawduc,Hawaiian Duck,Anas wyvilliana
539,species,phiduc1,Philippine Duck,Anas luzonica
540,species,isbduc1,Indian Spot-billed Duck,Anas poecilorhyncha
543,species,spbduc,Eastern Spot-billed Duck,Anas zonorhyncha
544,slash,y00830,Indian/Eastern Spot-billed Duck,Anas poecilorhyncha/zonorhyncha
545,species,mallar3,Mallard,Anas platyrhynchos
548,domestic,mallar2,Mallard (Domestic type),Anas platyrhynchos (Domestic type)
549,hybrid,x01147,Egyptian Goose x Mallard (hybrid),Alopochen aegyptiaca x Anas platyrhynchos
550,hybrid,x01148,Ruddy Shelduck x Mallard (hybrid),Tadorna ferruginea x Anas platyrhynchos
551,hybrid,mdxmal1,Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos
552,hybrid,x00205,Wood Duck x Mallard (hybrid),Aix sponsa x Anas platyrhynchos
553,hybrid,x00612,Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos
554,hybrid,x00420,Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos
555,hybrid,x01221,Falcated Duck x Mallard (hybrid),Mareca falcata x Anas platyrhynchos
556,hybrid,x00647,Eurasian Wigeon x Mallard (hybrid),Mareca penelope x Anas platyrhynchos
557,hybrid,x00611,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos
558,hybrid,x01149,African Black Duck x Mallard (hybrid),Anas sparsa x platyrhynchos
559,hybrid,x00760,Yellow-billed Duck x Mallard (hybrid),Anas undulata x platyrhynchos
560,hybrid,x00458,Pacific Black Duck x Mallard (hybrid),Anas superciliosa x platyrhynchos
561,hybrid,x00423,Hawaiian Duck x Mallard (hybrid),Anas wyvilliana x platyrhynchos
562,hybrid,x00834,Indian Spot-billed Duck x Mallard (hybrid),Anas poecilorhyncha x platyrhynchos
563,hybrid,x00835,Eastern Spot-billed Duck x Mallard (hybrid),Anas zonorhyncha x platyrhynchos
564,slash,y01128,Pacific Black Duck/Mallard,Anas superciliosa/platyrhynchos
565,slash,y01129,Hawaiian Duck/Mallard,Anas wyvilliana/platyrhynchos
566,slash,y01130,Indian Spot-billed Duck/Mallard,Anas poecilorhyncha/platyrhynchos
567,slash,y01131,Eastern Spot-billed Duck/Mallard,Anas zonorhyncha/platyrhynchos
568,species,mexduc,Mexican Duck,Anas diazi
569,hybrid,mallar4,Mallard x Mexican Duck (hybrid),Anas platyrhynchos x diazi
570,slash,mallar,Mallard/Mexican Duck,Anas platyrhynchos/diazi
